[190.  682.5],[3.1920000e+03 9.8245614e-01]
[422.63044247 707.2833163 ],[7.61412165e+03 9.93745479e-01]
[422.85319613 707.70463946],[7.59992265e+03 9.95213453e-01]
[423.89509584 708.49020795],[7.64827464e+03 9.73855149e-01]
[424.25396736 709.74350843],[7.72131679e+03 9.59112667e-01]
[425.3508478  711.82857208],[7.75108197e+03 9.68247669e-01]
[425.73345763 712.59576528],[7.76010486e+03 9.72046154e-01]
[425.84609551 713.1804416 ],[7.81913582e+03 9.66613754e-01]
[425.5285726  714.02583125],[7.89973015e+03 9.72096367e-01]
[425.38455965 714.97096593],[8.04747996e+03 9.88952130e-01]
[424.98322729 716.61220966],[8.39965329e+03 1.00263730e+00]
[424.8148862  717.53017171],[8.59372809e+03 1.00071967e+00]
[426.03994851 719.48094489],[8.36289622e+03 9.78847714e-01]
[427.15810378 721.17562703],[8.44631897e+03 9.50040867e-01]
[427.55943924 721.78251565],[8.47510719e+03 9.39573562e-01]
[427.69112892 722.62612383],[8.48377054e+03 9.35824631e-01]
[428.38318586 724.21905981],[8.48473583e+03 9.34618433e-01]
[428.95678633 725.44250931],[8.54595970e+03 9.41302299e-01]
[429.48480379 726.19433857],[8.57024423e+03 9.57528017e-01]
[429.33787612 726.76513608],[8.57846240e+03 9.77703236e-01]
[428.93605768 728.59264369],[8.94703148e+03 9.58555458e-01]
[427.78457444 730.55148637],[9.27950959e+03 9.98669178e-01]
[428.31276719 731.917466  ],[9.21359143e+03 9.67184761e-01]
[428.18095345 733.37641353],[9.43626931e+03 9.68670145e-01]
[428.45282775 734.87060149],[9.39059644e+03 9.68986293e-01]
[428.87827546 736.70739845],[9.42862417e+03 9.49738011e-01]
[429.03216948 737.35953417],[9.31553048e+03 9.55048964e-01]
[429.41223597 738.54152643],[9.26579582e+03 9.44216936e-01]
[429.21647575 739.60102726],[9.31016994e+03 9.46858309e-01]
[428.80555284 741.60173945],[9.32097883e+03 9.35078810e-01]
[428.3117671 743.3002634],[9.57414117e+03 9.19226708e-01]
[426.47343828 746.83933046],[9.92191506e+03 9.02710907e-01]
[425.77833647 748.14913592],[1.00533620e+04 8.96704161e-01]
[425.52060616 749.89824155],[9.97620818e+03 9.05711564e-01]
[425.10166792 751.82043202],[1.01368857e+04 9.04385134e-01]
[424.2937132  754.13182904],[1.03984040e+04 9.10777766e-01]
[423.34149829 757.24544868],[1.06872011e+04 8.96848736e-01]
[422.98906557 758.05130631],[1.08578131e+04 8.86515949e-01]
[422.54043482 759.92337115],[1.10726364e+04 9.05755731e-01]
[421.40319967 761.55746546],[1.12869126e+04 9.13729763e-01]
[420.65445394 763.75473356],[1.15039443e+04 9.17307725e-01]
[420.05769141 765.83923941],[1.16550893e+04 9.24519773e-01]
[418.86717547 767.87980522],[1.17803690e+04 9.33112632e-01]
[417.77658685 770.23064379],[1.20295936e+04 9.20263189e-01]
[416.7256728  773.02120159],[1.24086476e+04 9.16434219e-01]
[415.04127348 775.65339994],[1.29138365e+04 9.10927800e-01]
[413.76852326 777.89617733],[1.32595664e+04 9.19728331e-01]
[412.33091326 780.64017635],[1.34633023e+04 9.28523539e-01]
[409.8536389  784.55788445],[1.37639790e+04 9.37640678e-01]
[408.93351143 785.97647598],[1.38712997e+04 9.41110742e-01]
[406.66104633 787.41478673],[1.41374687e+04 9.48021108e-01]
[404.52487061 790.83034566],[1.49394582e+04 9.46569889e-01]
[402.44776151 794.01147583],[1.52430101e+04 9.46054877e-01]
[400.71387709 796.78435276],[1.55112394e+04 9.46071127e-01]
[399.11806415 800.04632389],[1.57669446e+04 9.46300034e-01]
[396.27322928 803.49416603],[1.60262588e+04 9.66332363e-01]
[393.93136225 806.68586419],[1.66159119e+04 9.84219054e-01]
[391.78591344 807.80974505],[1.63308175e+04 1.00115965e+00]
[389.71289391 811.75561394],[1.67985895e+04 9.92116899e-01]
[387.34838158 814.79448649],[1.73080135e+04 9.79012145e-01]
[382.91638761 818.47225777],[1.81050855e+04 9.88726139e-01]
[379.33578933 822.06954431],[1.86691050e+04 9.97017012e-01]
[376.40055543 824.98110976],[1.90544043e+04 1.00009812e+00]
[373.07123341 828.27801863],[1.93699309e+04 1.00115760e+00]
[369.59263896 832.37567088],[1.98418271e+04 1.01072975e+00]
[365.41527476 837.10509748],[2.06610966e+04 1.00938746e+00]
[361.94480593 840.43695642],[2.08709363e+04 1.01341399e+00]
[354.84425409 846.49794547],[2.19780300e+04 1.03697099e+00]
[348.66639937 852.28531101],[2.33731693e+04 1.04451519e+00]
[346.36018461 854.39133103],[2.39067899e+04 1.04739469e+00]
