[190.  682.5],[3.1920000e+03 9.8245614e-01]
[408.03668804 765.11900442],[9.73927184e+03 9.40823506e-01]
[407.63793618 766.44636782],[9.81952890e+03 9.52823822e-01]
[407.1636598  768.21899478],[9.90537823e+03 9.38931325e-01]
[406.33114235 769.17704401],[1.00051591e+04 9.52504858e-01]
[405.36873544 769.82096851],[9.97390279e+03 9.63955789e-01]
[404.68311162 771.00505319],[1.00892137e+04 9.68563263e-01]
[403.77924236 772.39656057],[1.01948071e+04 9.64081878e-01]
[403.44864101 773.20974886],[1.02964075e+04 9.56267920e-01]
[402.68170427 774.78692062],[1.06000334e+04 9.53917226e-01]
[402.0782244  777.30762114],[1.07746215e+04 9.35326442e-01]
[400.55041093 780.18529705],[1.11110121e+04 9.29329341e-01]
[399.00659901 781.56767404],[1.10979126e+04 9.26635337e-01]
[397.78158013 783.67654033],[1.12977894e+04 9.32151751e-01]
[397.34145144 784.42681609],[1.13691267e+04 9.34300540e-01]
[396.87349597 786.94969557],[1.16676422e+04 9.24648185e-01]
[396.06528558 788.18571222],[1.17189840e+04 9.49120525e-01]
[395.12764565 790.23833381],[1.20794188e+04 9.31083858e-01]
[393.81241289 792.59526995],[1.22166233e+04 9.35511483e-01]
[392.6825503  795.40429857],[1.22626158e+04 9.37262372e-01]
[390.31298323 799.69350967],[1.27089372e+04 9.28132837e-01]
[388.4609902  802.56385987],[1.31061402e+04 9.41419768e-01]
[387.46115789 803.59094933],[1.31753618e+04 9.40990800e-01]
[386.13699213 805.21291651],[1.34178308e+04 9.35980806e-01]
[384.36150097 806.74180374],[1.34383489e+04 9.60636146e-01]
[381.43805337 811.52684378],[1.43619746e+04 9.60415830e-01]
[380.35728637 813.26790225],[1.47129613e+04 9.60498192e-01]
[378.68927186 815.15803946],[1.48439137e+04 9.81237610e-01]
[376.14374988 819.40614185],[1.54446781e+04 9.73844023e-01]
[373.58719057 821.27194947],[1.56690416e+04 9.81258852e-01]
[371.67857275 823.20492714],[1.58263989e+04 9.89210197e-01]
[369.04734655 826.47834929],[1.62069114e+04 9.92203766e-01]
[366.46706644 830.25983708],[1.65943991e+04 9.88264290e-01]
[363.58212278 833.57902345],[1.69028285e+04 9.96700338e-01]
[358.63331755 839.00992502],[1.76109577e+04 1.00470272e+00]
[356.79645177 840.99129138],[1.78749646e+04 1.00767148e+00]
[354.21748216 842.62267241],[1.78706000e+04 1.03364977e+00]
[350.70061531 845.76442319],[1.82056950e+04 1.04321435e+00]
[346.50008901 849.48450474],[1.89505247e+04 1.04079073e+00]
[342.69295479 853.74290115],[1.95857233e+04 1.04910165e+00]
[338.71817569 857.88558022],[2.03781220e+04 1.04176286e+00]
[335.00458243 862.94669172],[2.10507423e+04 1.02930840e+00]
[331.07090068 867.06149569],[2.15803599e+04 1.02889779e+00]
[326.7328224  871.13181756],[2.20525521e+04 1.04207314e+00]
[322.56923519 875.83475   ],[2.30086099e+04 1.02836879e+00]
[318.15040649 880.44054562],[2.35611784e+04 1.02318168e+00]
[312.65917125 885.01607907],[2.38526753e+04 1.03408080e+00]
[307.41288165 890.55708052],[2.47575367e+04 1.03759798e+00]
[301.94817769 894.17572902],[2.61363140e+04 1.02151468e+00]
[296.40090182 897.38648837],[2.69740222e+04 1.01153245e+00]
[286.60009167 907.86865948],[2.78095092e+04 1.03546072e+00]
[282.96278352 911.14709304],[2.81066006e+04 1.04475045e+00]
[277.82984984 916.48346632],[2.85205484e+04 1.05203196e+00]
[272.43707638 920.9811966 ],[2.92068275e+04 1.05821201e+00]
[265.32493022 926.78653937],[2.99987486e+04 1.07189736e+00]
[258.52933174 932.76760899],[3.06271802e+04 1.07259303e+00]
[251.20583383 939.46175712],[3.18957662e+04 1.05977688e+00]
[243.69200597 944.46659508],[3.26888380e+04 1.08150127e+00]
[236.11749126 951.75654504],[3.41793961e+04 1.07286480e+00]
[228.19590513 957.95196527],[3.50732865e+04 1.08793443e+00]
[219.82654901 963.08323796],[3.58914074e+04 1.08551717e+00]
[211.93100518 970.72717332],[3.67931923e+04 1.08741274e+00]
[202.61128876 977.70997586],[3.82311247e+04 1.09753960e+00]
[193.40669824 984.4289481 ],[3.91384373e+04 1.10439112e+00]
[184.24098151 992.34760494],[4.06352136e+04 1.10166147e+00]
[ 174.78211808 1000.06223266],[4.19791685e+04 1.09955104e+00]
[ 164.24275141 1007.69803033],[4.28629573e+04 1.10163172e+00]
[ 153.93857696 1015.62600265],[4.36806642e+04 1.11548636e+00]
[ 143.41868112 1023.66238149],[4.54821017e+04 1.11510264e+00]
[ 132.17879881 1031.72226157],[4.68395238e+04 1.11734379e+00]
[ 121.63336713 1040.44532504],[4.78610157e+04 1.13072712e+00]
[ 114.18899544 1049.75010064],[4.80954483e+04 1.08443748e+00]
[ 108.8794037 1058.9260418],[4.62479262e+04 1.02531945e+00]
[ 103.69526251 1067.41320527],[4.44395053e+04 9.67851231e-01]
[  94.20738084 1084.41749633],[4.13538111e+04 8.58448628e-01]
[  90.91848054 1090.68713715],[4.02585787e+04 8.21307693e-01]
[  85.47326266 1099.29924563],[3.84019391e+04 7.60969764e-01]
[  80.28096491 1109.1507732 ],[3.65680767e+04 7.04990134e-01]
[  74.8416672  1118.17885931],[3.45475730e+04 6.48528931e-01]
[  68.61264985 1126.55952182],[3.19990092e+04 5.88480185e-01]
[  61.74778011 1131.10915782],[2.72108478e+04 5.60480639e-01]
[  55.76028911 1130.03902015],[2.21286278e+04 5.62024879e-01]
[  48.99123158 1132.21999162],[1.81573265e+04 5.28743209e-01]
[  41.95882354 1135.11702494],[1.43020175e+04 4.92390077e-01]
[  34.47165717 1140.69097355],[1.09138496e+04 4.35518240e-01]
[  26.85207468 1150.77474696],[8.21324677e+03 3.51156581e-01]
[  11.73745466 1176.30431244],[2.92964042e+03 1.88102049e-01]
[  11.73745466 1176.30431244],[2.92964042e+03 1.88102049e-01]
[187.  688.5],[2.2560000e+03 1.0212766e+00]
[189.8 689.3],[2.28816000e+03 1.11013216e+00]
[196.02068966 688.67652429],[2.83227421e+03 1.30163364e+00]
[198.25147724 688.47273398],[3.03111575e+03 1.36898788e+00]
[199.91467512 688.05430084],[3.36751937e+03 1.46823329e+00]
[204.42433023 687.9279426 ],[3.86751659e+03 1.66857516e+00]
[204.42433023 687.9279426 ],[3.86751659e+03 1.66857516e+00]
[206.12706719 687.89905558],[4.05499756e+03 1.74526944e+00]
[209.22965644 687.90109616],[4.29964962e+03 1.85088100e+00]
[212.28388271 687.9115539 ],[4.44826606e+03 1.91651928e+00]
[216.90300566 687.58532377],[4.65249037e+03 1.95129779e+00]
[223.1004285  686.80262294],[4.7233990e+03 1.9625171e+00]
[229.31122931 686.51532924],[4.67708867e+03 1.93760461e+00]
[229.31122931 686.51532924],[4.67708867e+03 1.93760461e+00]
[238.10343624 686.41773424],[4.77266848e+03 1.87340775e+00]
[244.31596375 686.71725078],[4.7695063e+03 1.8843807e+00]
[246.58072905 686.84386809],[4.76001263e+03 1.88684978e+00]
[255.74504589 686.89861707],[4.81396252e+03 1.91168178e+00]
[255.74504589 686.89861707],[4.81396252e+03 1.91168178e+00]
[258.81967883 686.92471908],[4.79619310e+03 1.90681625e+00]
[263.08578473 686.60889657],[4.97158956e+03 1.83063314e+00]
[271.42055734 686.49342196],[4.99671986e+03 1.78964087e+00]
[271.42055734 686.49342196],[4.99671986e+03 1.78964087e+00]
[274.44449262 686.45382129],[5.00004911e+03 1.77303381e+00]
[279.02666387 686.11621246],[5.02212832e+03 1.73235501e+00]
[286.18986853 686.64438167],[4.93889669e+03 1.77135758e+00]
[286.18986853 686.64438167],[4.93889669e+03 1.77135758e+00]
[288.73304699 686.85522753],[4.90197487e+03 1.78669816e+00]
[293.12983436 686.93688874],[4.85033797e+03 1.77943637e+00]
[298.24471957 687.29928671],[4.85403250e+03 1.74136587e+00]
[298.24471957 687.29928671],[4.85403250e+03 1.74136587e+00]
[303.96576928 687.43628378],[4.73227921e+03 1.77067112e+00]
[308.9181272  687.48810316],[4.83990977e+03 1.74976023e+00]
[313.24822307 687.83496211],[4.81830753e+03 1.76388019e+00]
[317.67181318 687.63578694],[4.83434264e+03 1.73454469e+00]
[317.67181318 687.63578694],[4.83434264e+03 1.73454469e+00]
[322.46315443 687.23010259],[4.82767469e+03 1.67759681e+00]
[326.39837961 687.07529254],[4.85907901e+03 1.66874740e+00]
[326.39837961 687.07529254],[4.85907901e+03 1.66874740e+00]
[331.01202036 687.3447496 ],[4.81082726e+03 1.68604536e+00]
[334.88781085 687.11847886],[4.88629498e+03 1.68450477e+00]
[338.81874997 687.6909157 ],[4.77151287e+03 1.63519075e+00]
[342.09730831 687.25113987],[4.72631493e+03 1.61650076e+00]
[342.09730831 687.25113987],[4.72631493e+03 1.61650076e+00]
[348.81207059 687.0827951 ],[4.78697458e+03 1.55957069e+00]
[348.81207059 687.0827951 ],[4.78697458e+03 1.55957069e+00]
[348.81207059 687.0827951 ],[4.78697458e+03 1.55957069e+00]
[351.4753048  687.01977986],[4.84654759e+03 1.55114766e+00]
[353.96377715 686.99655184],[5.02057227e+03 1.52461302e+00]
[356.72326003 686.98861682],[5.12245945e+03 1.45964640e+00]
[359.91264311 686.98647   ],[5.23063111e+03 1.39504096e+00]
[359.91264311 686.98647   ],[5.23063111e+03 1.39504096e+00]
[362.94318003 687.95343081],[5.21639680e+03 1.38633687e+00]
[362.94318003 687.95343081],[5.21639680e+03 1.38633687e+00]
[366.25364316 688.98493353],[5.25008607e+03 1.39479243e+00]
[368.67939498 689.7047493 ],[5.23514755e+03 1.36257747e+00]
[372.42797248 690.9510178 ],[5.24113037e+03 1.32650654e+00]
[372.42797248 690.9510178 ],[5.24113037e+03 1.32650654e+00]
[375.68285804 691.42067553],[5.32701105e+03 1.33488141e+00]
[376.77404449 691.5893178 ],[5.35802378e+03 1.33854821e+00]
[376.77404449 691.5893178 ],[5.35802378e+03 1.33854821e+00]
[378.7012031  692.29581556],[5.21645253e+03 1.35818897e+00]
[382.94262846 693.87492201],[5.03874667e+03 1.33427449e+00]
[382.94262846 693.87492201],[5.03874667e+03 1.33427449e+00]
[384.39523884 694.45370543],[4.97206153e+03 1.32558027e+00]
[386.4829929  695.31401865],[5.09623004e+03 1.30557774e+00]
[388.81200731 695.62157449],[5.01804668e+03 1.26700811e+00]
[388.81200731 695.62157449],[5.01804668e+03 1.26700811e+00]
[390.55647481 696.37444928],[5.11520683e+03 1.28493312e+00]
[390.55647481 696.37444928],[5.11520683e+03 1.28493312e+00]
[392.43984073 697.29896955],[5.06737947e+03 1.27096640e+00]
[392.43984073 697.29896955],[5.06737947e+03 1.27096640e+00]
[394.36220082 698.28767338],[4.96510689e+03 1.24506868e+00]
[395.30116853 698.96981967],[5.02113208e+03 1.23359435e+00]
[396.89305   699.8624892],[5.14599803e+03 1.20505251e+00]
[396.89305   699.8624892],[5.14599803e+03 1.20505251e+00]
[396.89305   699.8624892],[5.14599803e+03 1.20505251e+00]
[396.89305   699.8624892],[5.14599803e+03 1.20505251e+00]
[398.39468776 701.48502367],[5.23748982e+03 1.20508907e+00]
[398.39468776 701.48502367],[5.23748982e+03 1.20508907e+00]
[400.52952308 703.71932575],[5.38331251e+03 1.16105429e+00]
[402.57249819 705.51819506],[5.29631906e+03 1.13687965e+00]
[402.57249819 705.51819506],[5.29631906e+03 1.13687965e+00]
[402.57249819 705.51819506],[5.29631906e+03 1.13687965e+00]
[402.57249819 705.51819506],[5.29631906e+03 1.13687965e+00]
[402.91134213 706.18017401],[5.30802099e+03 1.13819282e+00]
[403.629435   707.70581225],[5.31160938e+03 1.13923089e+00]
[404.81959341 708.2511275 ],[5.27605282e+03 1.09004267e+00]
[404.81959341 708.2511275 ],[5.27605282e+03 1.09004267e+00]
[404.81959341 708.2511275 ],[5.27605282e+03 1.09004267e+00]
[406.52230478 710.70836009],[5.40496636e+03 1.08141511e+00]
[406.52230478 710.70836009],[5.40496636e+03 1.08141511e+00]
[407.09471761 711.61698359],[5.45352928e+03 1.07851966e+00]
[407.09471761 711.61698359],[5.45352928e+03 1.07851966e+00]
[407.57478036 712.5768949 ],[5.52358471e+03 1.04938342e+00]
[407.57478036 712.5768949 ],[5.52358471e+03 1.04938342e+00]
[407.57478036 712.5768949 ],[5.52358471e+03 1.04938342e+00]
[407.68918845 714.2087513 ],[5.74713226e+03 1.03875975e+00]
[408.01623858 715.44849281],[5.88151710e+03 1.04384039e+00]
[408.42168132 716.86133927],[6.03241508e+03 1.04583844e+00]
[409.51661957 718.339839  ],[5.98890725e+03 1.01245879e+00]
[410.87900303 719.84263083],[6.17234517e+03 9.83898354e-01]
[410.87900303 719.84263083],[6.17234517e+03 9.83898354e-01]
[410.87900303 719.84263083],[6.17234517e+03 9.83898354e-01]
[410.87900303 719.84263083],[6.17234517e+03 9.83898354e-01]
[411.67906744 721.99840442],[6.23792179e+03 9.57729669e-01]
[411.67906744 721.99840442],[6.23792179e+03 9.57729669e-01]
[411.67906744 721.99840442],[6.23792179e+03 9.57729669e-01]
[411.6030576  723.76282291],[6.47385896e+03 9.65139285e-01]
[412.52839048 726.66807777],[6.24827988e+03 9.67029464e-01]
[412.52839048 726.66807777],[6.24827988e+03 9.67029464e-01]
[412.83695288 727.73594802],[6.36701642e+03 9.69074200e-01]
[412.83695288 727.73594802],[6.36701642e+03 9.69074200e-01]
[412.83695288 727.73594802],[6.36701642e+03 9.69074200e-01]
[412.83695288 727.73594802],[6.36701642e+03 9.69074200e-01]
[412.92233999 729.72639692],[6.25539611e+03 9.94061545e-01]
[413.25013397 731.74706592],[6.26077117e+03 9.79544615e-01]
[413.25013397 731.74706592],[6.26077117e+03 9.79544615e-01]
[413.3412251  735.73826258],[6.57563505e+03 9.59384146e-01]
[413.68066182 738.17548803],[6.80190867e+03 9.52711176e-01]
[413.78530637 738.72718247],[6.93976471e+03 9.43166813e-01]
[413.78530637 738.72718247],[6.93976471e+03 9.43166813e-01]
[413.78530637 738.72718247],[6.93976471e+03 9.43166813e-01]
[413.78530637 738.72718247],[6.93976471e+03 9.43166813e-01]
[413.80028024 740.82175435],[6.98981121e+03 9.39783380e-01]
[413.80028024 740.82175435],[6.98981121e+03 9.39783380e-01]
[412.79691051 744.49871622],[7.33857937e+03 9.40292524e-01]
[412.40456445 745.84613563],[7.47005855e+03 9.40570617e-01]
[412.89340798 747.26813998],[7.34562180e+03 9.33034083e-01]
[412.40870293 749.37600024],[7.46466370e+03 9.38279902e-01]
[412.21798141 751.74834568],[7.56782609e+03 9.62123924e-01]
[412.13848359 754.88091515],[7.65908287e+03 9.64311527e-01]
[411.77364944 757.63893458],[7.68804524e+03 9.50882284e-01]
[411.95676625 760.25195918],[7.81063452e+03 9.46256653e-01]
[411.95676625 760.25195918],[7.81063452e+03 9.46256653e-01]
[411.36601792 762.80771915],[8.03109073e+03 9.52153502e-01]
[411.13899925 765.01308064],[8.34942997e+03 9.55053634e-01]
[410.72555809 767.4096224 ],[8.58912076e+03 9.56494553e-01]
[410.72555809 767.4096224 ],[8.58912076e+03 9.56494553e-01]
[409.91469792 770.53155221],[8.86152312e+03 9.64170831e-01]
[409.2802257  773.27935346],[8.95950932e+03 9.53902356e-01]
[408.05824482 776.20629648],[9.17582949e+03 9.44043039e-01]
[406.29145496 779.19890891],[9.37500047e+03 9.28194419e-01]
[404.97130899 782.21512184],[9.70130409e+03 9.23380773e-01]
[404.97130899 782.21512184],[9.70130409e+03 9.23380773e-01]
[403.17891016 787.18437379],[9.95664055e+03 9.34250702e-01]
[402.51065771 789.0111532 ],[1.00483518e+04 9.38497604e-01]
[400.64557369 791.89511742],[1.03438487e+04 9.53100153e-01]
[397.68174141 797.47371631],[1.09209559e+04 9.53496367e-01]
[396.56631053 799.51781257],[1.11394925e+04 9.53718004e-01]
[395.84619584 803.12307593],[1.12180126e+04 9.65592414e-01]
[394.3032724 806.3604017],[1.13754243e+04 9.58567535e-01]
[392.4408304  810.10401456],[1.17129692e+04 9.79738807e-01]
[390.1420604  813.71630199],[1.19752470e+04 1.01162138e+00]
[387.67505495 817.6046716 ],[1.22843706e+04 1.01763409e+00]
[384.81692363 821.91789309],[1.27618352e+04 1.01353380e+00]
[382.4636645  826.06178708],[1.33839165e+04 1.02306333e+00]
[378.37815635 830.14061774],[1.36109373e+04 1.04962768e+00]
[378.37815635 830.14061774],[1.36109373e+04 1.04962768e+00]
[374.5830934 834.8522607],[1.42274078e+04 1.05271825e+00]
[371.55877967 839.7866826 ],[1.46941952e+04 1.04772479e+00]
[367.54279002 843.83455817],[1.51775867e+04 1.05621663e+00]
[363.47594743 849.81547932],[1.58338427e+04 1.06924915e+00]
[358.43150986 854.58348137],[1.63140681e+04 1.08991991e+00]
[353.97290092 859.20613272],[1.68920053e+04 1.11291082e+00]
[348.78916195 864.42107611],[1.72735069e+04 1.12093813e+00]
[342.99265353 869.5342807 ],[1.86576605e+04 1.08750423e+00]
[336.98074876 873.94995928],[2.02778865e+04 1.05442682e+00]
[336.98074876 873.94995928],[2.02778865e+04 1.05442682e+00]
[326.06865597 885.74372167],[2.11584525e+04 1.09366991e+00]
[318.09363732 893.82821403],[2.15268492e+04 1.14353527e+00]
[318.09363732 893.82821403],[2.15268492e+04 1.14353527e+00]
[314.77722724 896.75867831],[2.15537617e+04 1.15885283e+00]
[309.1351357  902.59751147],[2.22066848e+04 1.16662782e+00]
[302.25971715 909.54225472],[2.32418470e+04 1.15620597e+00]
[294.90578881 916.57516728],[2.43043690e+04 1.16419986e+00]
[286.73599189 923.32406513],[2.50547258e+04 1.19454734e+00]
[278.25466893 930.93918195],[2.60609911e+04 1.19803571e+00]
[269.00807693 938.21591128],[2.71837740e+04 1.19142522e+00]
[259.79592026 945.68342312],[2.81089559e+04 1.20062003e+00]
[259.79592026 945.68342312],[2.81089559e+04 1.20062003e+00]
[249.96961428 954.20159232],[2.93256333e+04 1.20051501e+00]
[239.91347806 962.13738317],[3.03040584e+04 1.21175841e+00]
[229.13397287 970.82243568],[3.20363603e+04 1.21062862e+00]
[210.38113522 986.55001126],[3.44073177e+04 1.22521707e+00]
[203.29036054 992.44049997],[3.53186574e+04 1.23064246e+00]
[ 193.41271471 1000.92508722],[3.65089739e+04 1.22530119e+00]
[ 181.78730769 1009.77676785],[3.72708152e+04 1.23427940e+00]
[ 170.13236775 1018.7749467 ],[3.91689727e+04 1.23597270e+00]
[ 156.23601236 1029.10547707],[4.06842600e+04 1.22608676e+00]
[ 142.41552033 1040.59840516],[4.21221927e+04 1.23114421e+00]
[ 142.41552033 1040.59840516],[4.21221927e+04 1.23114421e+00]
[ 127.36752377 1051.25059991],[4.40855800e+04 1.24003866e+00]
[ 127.36752377 1051.25059991],[4.40855800e+04 1.24003866e+00]
[ 116.07165615 1062.526253  ],[4.42214214e+04 1.21865186e+00]
[ 109.63891487 1073.72263369],[4.27660908e+04 1.12431989e+00]
[ 102.39272842 1085.50922119],[4.02798882e+04 1.04114200e+00]
[ 102.39272842 1085.50922119],[4.02798882e+04 1.04114200e+00]
[  95.50941977 1097.86358938],[3.82940110e+04 9.52843436e-01]
[  88.10283927 1110.40782501],[3.59068693e+04 8.64693629e-01]
[  80.50393918 1122.05344236],[3.29997452e+04 7.85567788e-01]
[  72.14285225 1133.67078485],[2.97160459e+04 7.00576537e-01]
[  58.12101984 1141.03213422],[2.10950543e+04 6.40539322e-01]
[  53.99901428 1142.74056442],[1.84463084e+04 6.32298556e-01]
[  46.69972106 1146.78324731],[1.47759012e+04 5.90384010e-01]
[  37.67342682 1152.61652365],[1.07478352e+04 5.28213194e-01]
[  28.4721411  1158.76472406],[7.45628872e+03 4.34888105e-01]
[  18.42328719 1169.35249607],[4.60914983e+03 2.94559755e-01]
[   8.15894439 1178.2207051 ],[1.57492217e+03 1.69070891e-01]
[194.  685.5],[3.16200000e+03 1.21568627e+00]
[194.  685.5],[3.16200000e+03 1.21568627e+00]
[196.4 685.1],[3.46024000e+03 1.28957529e+00]
[200.23611505 683.10604782],[3.98679960e+03 1.28098578e+00]
[200.23611505 683.10604782],[3.98679960e+03 1.28098578e+00]
[200.23611505 683.10604782],[3.98679960e+03 1.28098578e+00]
[203.83765299 683.91204339],[4.20332785e+03 1.43212453e+00]
[206.4168869  684.28338995],[4.55521868e+03 1.59546226e+00]
[206.4168869  684.28338995],[4.55521868e+03 1.59546226e+00]
[209.95464853 685.86825967],[4.48784212e+03 1.77636600e+00]
[217.82961504 686.41413573],[4.52098999e+03 1.86983203e+00]
[223.7356494 684.8112201],[4.69410188e+03 1.80750483e+00]
[225.87506816 684.59415503],[4.80736323e+03 1.75932777e+00]
[230.48177507 685.52361819],[4.78996156e+03 1.85976430e+00]
[239.60259611 684.17549753],[4.93726835e+03 1.81085449e+00]
[243.0069413  683.68990378],[4.98358454e+03 1.79126225e+00]
[247.08959131 684.17493478],[4.90351845e+03 1.84040510e+00]
[252.41967002 684.03192425],[4.93161598e+03 1.83406866e+00]
[257.90480486 684.31427361],[4.84090836e+03 1.84098805e+00]
[257.90480486 684.31427361],[4.84090836e+03 1.84098805e+00]
[263.11832438 684.42427217],[4.92809242e+03 1.79496135e+00]
[267.23253473 683.4778114 ],[5.05372741e+03 1.76749979e+00]
[272.24032381 683.77570369],[5.06330197e+03 1.74429141e+00]
[276.2752694  683.56621426],[5.08876449e+03 1.70179100e+00]
[280.59587902 684.14460248],[5.00891599e+03 1.73881295e+00]
[280.59587902 684.14460248],[5.00891599e+03 1.73881295e+00]
[288.32227592 684.37186627],[5.06286026e+03 1.69859290e+00]
[288.32227592 684.37186627],[5.06286026e+03 1.69859290e+00]
[294.0496581  685.11257805],[4.85252094e+03 1.68758839e+00]
[296.33271142 685.39715476],[4.80635179e+03 1.69572152e+00]
[299.66500555 683.84377897],[5.08711835e+03 1.59890241e+00]
[304.71494406 683.59342785],[5.13141264e+03 1.58352984e+00]
[310.41528015 684.15131554],[5.14676617e+03 1.57790089e+00]
[312.3871133  684.36922385],[5.15083696e+03 1.57604168e+00]
[316.25893205 683.79730559],[5.26895723e+03 1.54025385e+00]
[319.20434191 684.55811986],[5.02324632e+03 1.54483467e+00]
[319.20434191 684.55811986],[5.02324632e+03 1.54483467e+00]
[323.45700821 685.51964953],[4.88587836e+03 1.60896178e+00]
[326.88345444 686.54865635],[4.64362648e+03 1.65080357e+00]
[329.99333848 686.58830585],[4.73046762e+03 1.60504266e+00]
[333.32615775 686.92797928],[4.66859128e+03 1.59603964e+00]
[337.07717888 687.04854509],[4.57403087e+03 1.56811924e+00]
[340.65369758 688.08007151],[4.63180279e+03 1.55113191e+00]
[343.83657521 687.1403588 ],[4.76613799e+03 1.50881967e+00]
[346.20886985 687.10440019],[4.57835923e+03 1.52292258e+00]
[346.20886985 687.10440019],[4.57835923e+03 1.52292258e+00]
[349.94030422 687.74643553],[4.54335647e+03 1.54173065e+00]
[352.52599074 687.31627268],[4.67810448e+03 1.45318111e+00]
[352.52599074 687.31627268],[4.67810448e+03 1.45318111e+00]
[357.34588385 688.12972564],[4.88650847e+03 1.37599249e+00]
[357.34588385 688.12972564],[4.88650847e+03 1.37599249e+00]
[361.00131633 688.43893302],[4.86132895e+03 1.37803808e+00]
[362.22567145 688.55142277],[4.85048280e+03 1.37979481e+00]
[362.22567145 688.55142277],[4.85048280e+03 1.37979481e+00]
[364.53811432 689.89794815],[4.81560215e+03 1.43532432e+00]
[367.92937923 691.7284706 ],[4.64848336e+03 1.41171758e+00]
[369.06099116 692.40043228],[4.58548542e+03 1.40278064e+00]
[371.36231886 692.63506152],[4.66836935e+03 1.36816839e+00]
[373.43685401 693.690992  ],[4.54305899e+03 1.40278201e+00]
[375.76175064 694.07486672],[4.56263533e+03 1.37301062e+00]
[377.18320042 694.20197233],[4.67410876e+03 1.33216038e+00]
[379.27154509 694.56089415],[4.72792630e+03 1.29245889e+00]
[379.27154509 694.56089415],[4.72792630e+03 1.29245889e+00]
[381.94559997 695.65964188],[4.69796740e+03 1.29205952e+00]
[381.94559997 695.65964188],[4.69796740e+03 1.29205952e+00]
[383.17750588 697.04957341],[4.77796303e+03 1.28956597e+00]
[384.87212677 697.88510266],[4.85976064e+03 1.27535688e+00]
[386.41016096 698.83541056],[4.84965621e+03 1.25979863e+00]
[387.89005037 699.50265236],[4.93809962e+03 1.25189433e+00]
[389.35732178 700.06043965],[4.98060360e+03 1.22611092e+00]
[391.14947031 700.90280191],[4.99609670e+03 1.21689828e+00]
[392.40568086 700.87400154],[5.05220268e+03 1.20164432e+00]
[392.40568086 700.87400154],[5.05220268e+03 1.20164432e+00]
[392.40568086 700.87400154],[5.05220268e+03 1.20164432e+00]
[392.40568086 700.87400154],[5.05220268e+03 1.20164432e+00]
[393.79382427 702.47249775],[4.99304484e+03 1.15425968e+00]
[395.56421758 704.04070239],[5.01837283e+03 1.12596035e+00]
[395.56421758 704.04070239],[5.01837283e+03 1.12596035e+00]
[396.14863108 704.61717921],[5.02800052e+03 1.11602884e+00]
[397.29523515 705.78871456],[5.21579370e+03 1.13160828e+00]
[399.3156734  707.18803381],[5.38184444e+03 1.13639169e+00]
[399.3156734  707.18803381],[5.38184444e+03 1.13639169e+00]
[399.3156734  707.18803381],[5.38184444e+03 1.13639169e+00]
[399.3156734  707.18803381],[5.38184444e+03 1.13639169e+00]
[399.3156734  707.18803381],[5.38184444e+03 1.13639169e+00]
[399.69484224 707.69551259],[5.39924686e+03 1.12906096e+00]
[399.69484224 707.69551259],[5.39924686e+03 1.12906096e+00]
[399.69484224 707.69551259],[5.39924686e+03 1.12906096e+00]
[399.69484224 707.69551259],[5.39924686e+03 1.12906096e+00]
[400.42746497 709.16458976],[5.59915352e+03 1.12446700e+00]
[400.98187947 710.99823323],[5.62759519e+03 1.11373612e+00]
[402.12152978 712.3238859 ],[5.69149414e+03 1.08092310e+00]
[403.15934238 714.09786192],[5.70703516e+03 1.10679924e+00]
[403.83450221 715.39734115],[5.86147341e+03 1.10615993e+00]
[404.37239054 716.50715819],[6.07309934e+03 1.09557330e+00]
[405.84254926 718.51974828],[6.00176897e+03 1.08375776e+00]
[407.67585215 719.58012924],[6.02339560e+03 1.07007107e+00]
[407.67585215 719.58012924],[6.02339560e+03 1.07007107e+00]
[407.67585215 719.58012924],[6.02339560e+03 1.07007107e+00]
[407.67585215 719.58012924],[6.02339560e+03 1.07007107e+00]
[407.67585215 719.58012924],[6.02339560e+03 1.07007107e+00]
[407.67585215 719.58012924],[6.02339560e+03 1.07007107e+00]
[407.67585215 719.58012924],[6.02339560e+03 1.07007107e+00]
[407.67585215 719.58012924],[6.02339560e+03 1.07007107e+00]
[408.32111679 721.90288384],[6.12872359e+03 1.08273078e+00]
[408.85207826 723.07419794],[6.37770856e+03 1.06856065e+00]
[409.99401334 725.10443031],[6.47354106e+03 1.04642939e+00]
[411.04295657 727.14152566],[6.50712546e+03 1.03828195e+00]
[411.04295657 727.14152566],[6.50712546e+03 1.03828195e+00]
[411.7270738  728.85407239],[6.61872118e+03 1.06917241e+00]
[411.7270738  728.85407239],[6.61872118e+03 1.06917241e+00]
[412.27862675 730.43827028],[6.76381553e+03 1.08056557e+00]
[412.27862675 730.43827028],[6.76381553e+03 1.08056557e+00]
[412.27862675 730.43827028],[6.76381553e+03 1.08056557e+00]
[412.77754967 732.62604235],[6.81150656e+03 1.10238587e+00]
[413.58482409 734.38990848],[6.99771807e+03 1.08365539e+00]
[414.51215902 736.63957626],[7.12214920e+03 1.06819181e+00]
[414.51215902 736.63957626],[7.12214920e+03 1.06819181e+00]
[414.51215902 736.63957626],[7.12214920e+03 1.06819181e+00]
[414.83044882 739.40262268],[7.27398225e+03 1.07839236e+00]
[415.57401297 741.71014347],[7.43568757e+03 1.09821952e+00]
[415.82909712 742.52615696],[7.49359697e+03 1.10588142e+00]
