1	1	730	557	1069	959	2
1	2	877	269	1054	356	2
1	3	1179	222	1241	281	2
2	1	727.4	565.68	1075.94	986.77	2
2	2	870.06	269.87	1049.66	357.74	2
2	3	1179	222.87	1241	281.87	2
3	1	715.39	587.04	1088.69	1044.29	2
3	2	858.02	270.79	1038.84	360.36	2
3	3	1178.22	224.58	1241	283.58	2
4	1	707.11	605.66	1097.89	1089.22	2
4	2	849.75	271.83	1029.4	362.68	2
4	3	1177.22	225.1	1240.24	285.62	2
4	4	1210	193	1243	223	2
5	1	693.88	634.9	1113.51	1171.74	2
5	2	836.37	273.6	1018.53	366.28	2
5	3	1175.44	226.68	1239.26	287.69	2
5	4	1210	193.8	1243	223.8	2
6	1	683.93	658.47	1125.64	1236.73	2
6	2	827.23	274.87	1009.52	368.84	2
6	3	1173.45	227.89	1238.94	289.05	2
6	4	1210	193.95	1243	224.72	2
7	1	664.58	691.72	1144.44	1337.68	2
7	2	814.68	275.97	999.75	372.41	2
7	3	1171.41	228.97	1238.16	290.15	2
7	4	1209.22	194.77	1243	225.8	2
8	1	649.02	723.28	1158.47	1415.99	2
8	2	805.76	277.01	990.44	374.3	2
8	3	1168.68	229.31	1237.21	291.85	2
8	4	1208.98	195.78	1243	226.12	2
9	1	622.74	766.28	1176.42	1446.72	2
9	2	794.1	278.69	977.22	377.58	2
9	3	1164.38	230.75	1236.22	293.1	2
9	4	1208.19	196.82	1243.72	226.92	2
10	1	600.63	804.21	1186.41	1456.44	2
10	2	786.84	279.94	968.67	380.04	2
10	3	1162.15	231.91	1235.2	294.16	2
10	4	1207.25	197.14	1243.97	227.87	2
11	1	567.55	858.67	1207.62	1456.74	2
11	2	775.14	282.36	957.15	383.51	2
11	3	1157.44	233.65	1233.52	295.84	2
11	4	1206.91	197.23	1244.05	228.86	2
12	1	594.81	903.16	1188.02	1453.7	2
12	2	767.83	283.23	949.91	387.37	2
12	3	1153.75	234.92	1232.26	297.75	2
12	4	1206.81	197.24	1244.07	229.87	2
13	1	595.44	970.68	1176.49	1456.4	2
13	2	758.82	285.47	938.24	391.36	2
13	3	1149.17	236.68	1230.5	299.74	2
13	4	1206.13	197.89	1244.07	230.89	2
14	1	582.31	1075.63	1172.53	1455.3	2
14	2	750.51	288.9	926.91	396.06	2
14	3	1142.32	237.96	1227.91	302.41	2
14	4	1205.89	198.12	1244.07	232.56	2
15	1	576.95	1141.42	1173.39	1450.29	2
15	2	744.46	290.17	919.08	399.71	2
15	3	1137.81	238.4	1225.65	304.03	2
15	4	1205.81	198.84	1243.4	233.82	2
16	2	736.55	292.56	909.2	404.26	2
16	3	1131.01	239.18	1222.24	305.89	2
16	4	1205.81	199.76	1243.14	234.93	2
17	2	732.64	294.07	902.57	407.85	2
17	3	1123.97	238.79	1220.3	307.85	2
17	4	1205.16	200.1	1243.04	235.97	2
18	2	728.2	297.19	893.13	413.01	2
18	3	1116.24	239.9	1216.41	310.49	2
18	4	1204.92	201.51	1243.01	236.99	2
19	2	724.9	299.64	887.35	417.49	2
19	3	1109.48	240.95	1213.63	312.11	2
19	4	1204.85	202.04	1242.99	237.99	2
20	2	721.97	301.82	879.53	421.69	2
20	3	1100.58	242.62	1209.41	314.61	2
20	4	1204.18	202.87	1242.99	239	2
21	2	719.86	303.25	874.35	425.78	2
21	3	1092.76	243.88	1205.26	316.17	2
21	4	1203.93	203.82	1242.99	240	2
22	2	718.68	305.68	868.07	431.11	2
22	3	1081.55	244.98	1199.23	318.65	2
22	4	1203.85	204.82	1242.99	241	2
23	2	719.21	307.2	864.11	435	2
23	3	1073.46	245.36	1195.01	320.19	2
23	4	1203.18	205.17	1242.99	242	2
